ugc,type,name,state
AKZ101,public,Anchorage,AK
AKZ111,public,Matanuska Valley,AK
AKZ121,public,Western Kenai Peninsula,AK
AKZ125,public,Western Prince William Sound,AK
AKZ131,public,Northeast Prince William Sound,AK
AKZ135,public,Southeast Prince William Sound,AK
AKZ141,public,Copper River Basin,AK
AKZ145,public,Susitna Valley,AK
AKZ152,public,Lower Kuskokwim Valley,AK
AKZ155,public,Kuskokwim Delta,AK
AKZ161,public,Bristol Bay,AK
AKZ171,public,Kodiak Island,AK
AKZ181,public,Alaska Peninsula,AK
AKZ185,public,Eastern Aleutians,AK
AKZ187,public,Central Aleutians,AK
AKZ191,public,Western Aleutians,AK
AKZ195,public,Pribilof Islands,AK
AKZ201,public,Western Arctic Coast,AK
AKZ202,public,Northern Arctic Coast,AK
AKZ203,public,Central Beaufort Sea Coast,AK
AKZ204,public,Eastern Beaufort Sea Coast,AK
AKZ205,public,Northwestern Brooks Range,AK
AKZ206,public,Northeastern Brooks Range,AK
AKZ207,public,Chukchi Sea Coast,AK
AKZ208,public,Lower Kobuk and Noatak Valleys,AK
AKZ209,public,Baldwin Peninsula and Selawik Valley,AK
AKZ210,public,Northern and Interior Seward Peninsula,AK
AKZ211,public,Southern Seward Peninsula Coast,AK
AKZ212,public,Eastern Norton Sound and Nulato Hills,AK
AKZ213,public,St Lawrence Island and Bering Strait Coast,AK
AKZ214,public,Yukon Delta,AK
AKZ215,public,Lower Yukon Valley,AK
AKZ216,public,Lower Koyukuk and Middle Yukon Valleys,AK
AKZ217,public,Upper Kobuk and Noatak Valleys,AK
AKZ218,public,Southeastern Brooks Range,AK
AKZ219,public,Upper Koyukuk Valley,AK
AKZ220,public,Yukon Flats and Surrounding Uplands,AK
AKZ221,public,Central Interior,AK
AKZ222,public,Middle Tanana Valley,AK
AKZ223,public,Deltana and Tanana Flats,AK
AKZ224,public,Upper Tanana Valley and the Fortymile Country,AK
AKZ225,public,Denali,AK
AKZ226,public,Eastern Alaska Range,AK
AKZ227,public,Upper Kuskokwim Valley,AK
AKZ317,public,City and Borough of Yakutat,AK
AKZ318,public,Municipality of Skagway,AK
AKZ319,public,Haines Borough and Klukwan,AK
AKZ320,public,Glacier Bay,AK
AKZ321,public,Eastern Chichagof Island,AK
AKZ322,public,Cape Fairweather to Lisianski Strait,AK
AKZ323,public,City and Borough of Sitka,AK
AKZ324,public,Admiralty Island,AK
AKZ325,public,City and Borough of Juneau,AK
AKZ326,public,Petersburg Borough,AK
AKZ327,public,Western Kupreanof and Kuiu Island,AK
AKZ328,public,Prince of Wales Island,AK
AKZ329,public,City and Borough of Wrangell,AK
AKZ330,public,Ketchikan Gateway Borough,AK
AKZ331,public,City of Hyder,AK
AKZ332,public,Annette Island,AK
ALZ001,public,Lauderdale,AL
ALZ002,public,Colbert,AL
ALZ003,public,Franklin,AL
ALZ004,public,Lawrence,AL
ALZ005,public,Limestone,AL
ALZ006,public,Madison,AL
ALZ007,public,Morgan,AL
ALZ008,public,Marshall,AL
ALZ009,public,Jackson,AL
ALZ010,public,DeKalb,AL
ALZ011,public,Marion,AL
ALZ012,public,Lamar,AL
ALZ013,public,Fayette,AL
ALZ014,public,Winston,AL
ALZ015,public,Walker,AL
ALZ016,public,Cullman,AL
ALZ017,public,Blount,AL
ALZ018,public,Etowah,AL
ALZ019,public,Calhoun,AL
ALZ020,public,Cherokee,AL
ALZ021,public,Cleburne,AL
ALZ022,public,Pickens,AL
ALZ023,public,Tuscaloosa,AL
ALZ024,public,Jefferson,AL
ALZ025,public,Shelby,AL
ALZ026,public,St. Clair,AL
ALZ027,public,Talladega,AL
ALZ028,public,Clay,AL
ALZ029,public,Randolph,AL
ALZ030,public,Sumter,AL
ALZ031,public,Greene,AL
ALZ032,public,Hale,AL
ALZ033,public,Perry,AL
ALZ034,public,Bibb,AL
ALZ035,public,Chilton,AL
ALZ036,public,Coosa,AL
ALZ037,public,Tallapoosa,AL
ALZ038,public,Chambers,AL
ALZ039,public,Marengo,AL
ALZ040,public,Dallas,AL
ALZ041,public,Autauga,AL
ALZ042,public,Lowndes,AL
ALZ043,public,Elmore,AL
ALZ044,public,Montgomery,AL
ALZ045,public,Macon,AL
ALZ046,public,Bullock,AL
ALZ047,public,Lee,AL
ALZ048,public,Russell,AL
ALZ049,public,Pike,AL
ALZ050,public,Barbour,AL
ALZ051,public,Choctaw,AL
ALZ052,public,Washington,AL
ALZ053,public,Clarke,AL
ALZ054,public,Wilcox,AL
ALZ055,public,Monroe,AL
ALZ056,public,Conecuh,AL
ALZ057,public,Butler,AL
ALZ058,public,Crenshaw,AL
ALZ059,public,Escambia,AL
ALZ060,public,Covington,AL
ALZ065,public,Coffee,AL
ALZ066,public,Dale,AL
ALZ067,public,Henry,AL
ALZ068,public,Geneva,AL
ALZ069,public,Houston,AL
ALZ261,public,Mobile Inland,AL
ALZ262,public,Baldwin Inland,AL
ALZ263,public,Mobile Central,AL
ALZ264,public,Baldwin Central,AL
ALZ265,public,Mobile Coastal,AL
ALZ266,public,Baldwin Coastal,AL
ARZ001,public,Benton,AR
ARZ002,public,Carroll,AR
ARZ004,public,Marion,AR
ARZ005,public,Baxter,AR
ARZ006,public,Fulton,AR
ARZ007,public,Sharp,AR
ARZ008,public,Randolph,AR
ARZ009,public,Clay,AR
ARZ010,public,Washington,AR
ARZ011,public,Madison,AR
ARZ014,public,Stone,AR
ARZ015,public,Izard,AR
ARZ016,public,Independence,AR
ARZ017,public,Lawrence,AR
ARZ018,public,Greene,AR
ARZ019,public,Crawford,AR
ARZ020,public,Franklin,AR
ARZ024,public,Cleburne,AR
ARZ025,public,Jackson,AR
ARZ026,public,Craighead,AR
ARZ027,public,Poinsett,AR
ARZ028,public,Mississippi,AR
ARZ029,public,Sebastian,AR
ARZ031,public,Conway,AR
ARZ032,public,Faulkner,AR
ARZ033,public,White,AR
ARZ034,public,Woodruff,AR
ARZ035,public,Cross,AR
ARZ036,public,Crittenden,AR
ARZ039,public,Perry,AR
ARZ042,public,Garland,AR
ARZ043,public,Saline,AR
ARZ044,public,Pulaski,AR
ARZ045,public,Lonoke,AR
ARZ046,public,Prairie,AR
ARZ047,public,Monroe,AR
ARZ048,public,St. Francis,AR
ARZ049,public,Lee,AR
ARZ050,public,Sevier,AR
ARZ051,public,Howard,AR
ARZ052,public,Pike,AR
ARZ053,public,Clark,AR
ARZ054,public,Hot Spring,AR
ARZ055,public,Grant,AR
ARZ056,public,Jefferson,AR
ARZ057,public,Arkansas,AR
ARZ058,public,Phillips,AR
ARZ059,public,Little River,AR
ARZ060,public,Hempstead,AR
ARZ061,public,Nevada,AR
ARZ062,public,Dallas,AR
ARZ063,public,Cleveland,AR
ARZ064,public,Lincoln,AR
ARZ065,public,Desha,AR
ARZ066,public,Ouachita,AR
ARZ067,public,Calhoun,AR
ARZ068,public,Bradley,AR
ARZ069,public,Drew,AR
ARZ070,public,Miller,AR
ARZ071,public,Lafayette,AR
ARZ072,public,Columbia,AR
ARZ073,public,Union,AR
ARZ074,public,Ashley,AR
ARZ075,public,Chicot,AR
ARZ103,public,Boone County Except Southwest,AR
ARZ112,public,Newton County Higher Elevations,AR
ARZ113,public,Searcy County Lower Elevations,AR
ARZ121,public,Southern Johnson County,AR
ARZ122,public,Southern Pope County,AR
ARZ123,public,Southeast Van Buren County,AR
ARZ130,public,Western and Northern Logan County,AR
ARZ137,public,Northern Scott County,AR
ARZ138,public,Northwest Yell County,AR
ARZ140,public,Polk County Lower Elevations,AR
ARZ141,public,Central and Eastern Montgomery County,AR
ARZ203,public,Boone County Higher Elevations,AR
ARZ212,public,Newton County Lower Elevations,AR
ARZ213,public,Northwest Searcy County Higher Elevations,AR
ARZ221,public,Johnson County Higher Elevations,AR
ARZ222,public,Pope County Higher Elevations,AR
ARZ223,public,Van Buren County Higher Elevations,AR
ARZ230,public,Southern and Eastern Logan County,AR
ARZ237,public,Central and Southern Scott County,AR
ARZ238,public,Yell Excluding Northwest,AR
ARZ240,public,Northern Polk County Higher Elevations,AR
ARZ241,public,Northern Montgomery County Higher Elevations,AR
ARZ313,public,"Eastern, Central, and Southern Searcy County Higher Elevations",AR
ARZ340,public,Southeast Polk County Higher Elevations,AR
ARZ341,public,Southwest Montgomery County Higher Elevations,AR
ASZ001,public,Tutuila and Aunuu,AS
ASZ002,public,Manua,AS
ASZ003,public,Swains Island,AS
AZZ001,public,Northwest Plateau,AZ
AZZ002,public,Lake Havasu and Fort Mohave,AZ
AZZ003,public,Northwest Deserts,AZ
AZZ004,public,Kaibab Plateau,AZ
AZZ005,public,Marble and Glen Canyons,AZ
AZZ006,public,Grand Canyon Country,AZ
AZZ007,public,Coconino Plateau,AZ
AZZ008,public,Yavapai County  Mountains,AZ
AZZ009,public,Northeast Plateaus and Mesas Hwy 264 Northward,AZ
AZZ010,public,Chinle Valley,AZ
AZZ011,public,Chuska Mountains and Defiance Plateau,AZ
AZZ012,public,Little Colorado River Valley in Coconino County,AZ
AZZ013,public,Little Colorado River Valley in Navajo County,AZ
AZZ014,public,Little Colorado River Valley in Apache County,AZ
AZZ015,public,Western Mogollon Rim,AZ
AZZ016,public,Eastern Mogollon Rim,AZ
AZZ017,public,White Mountains,AZ
AZZ018,public,Northern Gila County,AZ
AZZ036,public,Lake Mead National Recreation Area,AZ
AZZ037,public,Yavapai County Valleys and Basins,AZ
AZZ038,public,Oak Creek and Sycamore Canyons,AZ
AZZ039,public,Black Mesa Area,AZ
AZZ040,public,Northeast Plateaus and Mesas South of Hwy 264,AZ
AZZ501,public,Western Pima County Including Ajo/Organ Pipe Cactus National Monument,AZ
AZZ502,public,Tohono O'odham Nation including Sells,AZ
AZZ503,public,Upper Santa Cruz River and Altar Valleys including Nogales,AZ
AZZ504,public,Tucson Metro Area including Tucson/Green Valley/Marana/Vail,AZ
AZZ505,public,South Central Pinal County including Eloy/Picacho Peak State Park,AZ
AZZ506,public,Southeast Pinal County including Kearny/Mammoth/Oracle,AZ
AZZ507,public,Upper San Pedro River Valley including Sierra Vista/Benson,AZ
AZZ508,public,Eastern Cochise County Below 5000 Feet including Douglas/Willcox,AZ
AZZ509,public,Upper Gila River and Aravaipa Valleys including Clifton/Safford,AZ
AZZ510,public,White Mountains of Graham and Greenlee Counties including Hannagan Meadow,AZ
AZZ511,public,Galiuro and Pinaleno Mountains including Mount Graham,AZ
AZZ512,public,Chiricahua Mountains including Chiricahua National Monument,AZ
AZZ513,public,Dragoon/Mule/Huachuca and Santa Rita Mountains including Bisbee/Canelo Hills/Madera Canyon,AZ
AZZ514,public,Santa Catalina and Rincon Mountains including Mount Lemmon/Summerhaven,AZ
AZZ515,public,Baboquivari Mountains including Kitt Peak,AZ
AZZ530,public,Parker Valley,AZ
AZZ531,public,Kofa,AZ
AZZ532,public,Yuma,AZ
AZZ533,public,Central La Paz,AZ
AZZ534,public,Aguila Valley,AZ
AZZ535,public,Southeast Yuma County,AZ
AZZ536,public,Gila River Valley,AZ
AZZ537,public,Northwest Valley,AZ
AZZ538,public,Tonopah Desert,AZ
AZZ539,public,Gila Bend,AZ
AZZ540,public,Buckeye/Avondale,AZ
AZZ541,public,Cave Creek/New River,AZ
AZZ542,public,Deer Valley,AZ
AZZ543,public,Central Phoenix,AZ
AZZ544,public,North Phoenix/Glendale,AZ
AZZ545,public,New River Mesa,AZ
AZZ546,public,Scottsdale/Paradise Valley,AZ
AZZ547,public,Rio Verde/Salt River,AZ
AZZ548,public,East Valley,AZ
AZZ549,public,Fountain Hills/East Mesa,AZ
AZZ550,public,South Mountain/Ahwatukee,AZ
AZZ551,public,Southeast Valley/Queen Creek,AZ
AZZ552,public,Superior,AZ
AZZ553,public,Northwest Pinal County,AZ
AZZ554,public,West Pinal County,AZ
AZZ555,public,Apache Junction/Gold Canyon,AZ
AZZ556,public,Tonto Basin,AZ
AZZ557,public,Mazatzal Mountains,AZ
AZZ558,public,Pinal/Superstition Mountains,AZ
AZZ559,public,Sonoran Desert Natl Monument,AZ
AZZ560,public,San Carlos,AZ
AZZ561,public,Dripping Springs,AZ
AZZ562,public,Globe/Miami,AZ
AZZ563,public,Southeast Gila County,AZ
CAZ006,public,San Francisco,CA
CAZ013,public,Shasta Lake Area / Northern Shasta County,CA
CAZ014,public,Burney Basin / Eastern Shasta County,CA
CAZ015,public,Northern Sacramento Valley,CA
CAZ016,public,Central Sacramento Valley,CA
CAZ017,public,Southern Sacramento Valley,CA
CAZ018,public,Carquinez Strait and Delta,CA
CAZ019,public,Northern San Joaquin Valley,CA
CAZ038,public,Cuyama Valley,CA
CAZ043,public,San Diego County Coastal Areas,CA
CAZ048,public,San Bernardino and Riverside County Valleys-The Inland Empire,CA
CAZ050,public,San Diego County Inland Valleys,CA
CAZ053,public,Ventura County Mountains,CA
CAZ054,public,Los Angeles County Mountains,CA
CAZ055,public,San Bernardino County Mountains,CA
CAZ056,public,Riverside County Mountains,CA
CAZ057,public,Santa Ana Mountains and Foothills,CA
CAZ058,public,San Diego County Mountains,CA
CAZ059,public,Antelope Valley,CA
CAZ060,public,Apple and Lucerne Valleys,CA
CAZ061,public,Coachella Valley,CA
CAZ062,public,San Diego County Deserts,CA
CAZ063,public,Mountains Southwestern Shasta County to Western Colusa County,CA
CAZ065,public,San Gorgonio Pass Near Banning,CA
CAZ066,public,Northeast Foothills/Sacramento Valley,CA
CAZ067,public,Motherlode,CA
CAZ068,public,Western Plumas County/Lassen Park,CA
CAZ069,public,West Slope Northern Sierra Nevada,CA
CAZ070,public,Surprise Valley California,CA
CAZ071,public,Lassen-Eastern Plumas-Eastern Sierra Counties,CA
CAZ072,public,Greater Lake Tahoe Area,CA
CAZ073,public,Mono,CA
CAZ080,public,Western Siskiyou County,CA
CAZ081,public,Central Siskiyou County,CA
CAZ082,public,South Central Siskiyou County,CA
CAZ083,public,North Central and Southeast Siskiyou County,CA
CAZ084,public,Northeast Siskiyou and Northwest Modoc Counties,CA
CAZ085,public,Modoc County,CA
CAZ087,public,Catalina and Santa Barbara Islands,CA
CAZ088,public,Santa Clarita Valley,CA
CAZ101,public,Coastal Del Norte,CA
CAZ102,public,Del Norte Interior,CA
CAZ103,public,Northern Humboldt Coast,CA
CAZ104,public,Southwestern Humboldt,CA
CAZ105,public,Northern Humboldt Interior,CA
CAZ106,public,Southern Humboldt Interior,CA
CAZ107,public,Northern Trinity,CA
CAZ108,public,Southern Trinity,CA
CAZ109,public,Mendocino Coast,CA
CAZ110,public,Northwestern Mendocino Interior,CA
CAZ111,public,Northeastern Mendocino Interior,CA
CAZ112,public,Southwestern Mendocino Interior,CA
CAZ113,public,Southeastern Mendocino Interior,CA
CAZ114,public,Northern Lake County,CA
CAZ115,public,Southern Lake County,CA
CAZ300,public,West Side Mountains north of 198,CA
CAZ301,public,Los Banos - Dos Palos,CA
CAZ302,public,Merced - Madera - Mendota,CA
CAZ303,public,Planada - Le Grand - Snelling,CA
CAZ304,public,Coalinga - Avenal,CA
CAZ305,public,West Side of Fresno and Kings Counties,CA
CAZ306,public,Caruthers - San Joaquin - Selma,CA
CAZ307,public,Fresno-Clovis,CA
CAZ308,public,West Side Mountains South of 198,CA
CAZ309,public,Buttonwillow - Lost Hills - I5,CA
CAZ310,public,Delano-Wasco-Shafter,CA
CAZ311,public,Hanford - Corcoran - Lemoore,CA
CAZ312,public,Visalia - Porterville - Reedley,CA
CAZ313,public,Buena Vista,CA
CAZ314,public,Bakersfield,CA
CAZ315,public,Southeast San Joaquin Valley,CA
CAZ316,public,South End San Joaquin Valley,CA
CAZ317,public,Mariposa Madera Foothills,CA
CAZ318,public,Mariposa-Madera Lower Sierra,CA
CAZ319,public,Fresno-Tulare Foothills,CA
CAZ320,public,Fresno-Tulare Lower Sierra,CA
CAZ321,public,South End Sierra Foothills,CA
CAZ322,public,South End of the Lower Sierra,CA
CAZ323,public,Yosemite NP outside of the valley,CA
CAZ324,public,Yosemite Valley,CA
CAZ325,public,San Joaquin River Canyon,CA
CAZ326,public,Upper San Joaquin River,CA
CAZ327,public,Kaiser to Rodgers Ridge,CA
CAZ328,public,Kings Canyon NP,CA
CAZ329,public,Grant Grove Area,CA
CAZ330,public,Sequoia NP,CA
CAZ331,public,South End of the Upper Sierra,CA
CAZ332,public,Kern River Valley,CA
CAZ333,public,Piute Walker Basin,CA
CAZ334,public,Tehachapi,CA
CAZ335,public,Grapevine,CA
CAZ336,public,Frazier Mountain Communities,CA
CAZ337,public,Indian Wells Valley,CA
CAZ338,public,Mojave Desert Slopes,CA
CAZ339,public,Mojave Desert,CA
CAZ340,public,San Luis Obispo County Beaches,CA
CAZ341,public,San Luis Obispo County Inland Central Coast,CA
CAZ342,public,Santa Lucia Mountains,CA
CAZ343,public,Southern Salinas Valley,CA
CAZ344,public,San Luis Obispo County Interior Valleys,CA
CAZ345,public,San Luis Obispo County Mountains,CA
CAZ346,public,Santa Barbara County Central Coast Beaches,CA
CAZ347,public,Santa Barbara County Inland Central Coast,CA
CAZ348,public,Santa Ynez Valley,CA
CAZ349,public,Santa Barbara County Southwestern Coast,CA
CAZ350,public,Santa Barbara County Southeastern Coast,CA
CAZ351,public,Santa Ynez Mountains Western Range,CA
CAZ352,public,Santa Ynez Mountains Eastern Range,CA
CAZ353,public,Santa Barbara County Interior Mountains,CA
CAZ354,public,Ventura County Beaches,CA
CAZ355,public,Ventura County Inland Coast,CA
CAZ356,public,Lake Casitas,CA
CAZ357,public,Ojai Valley,CA
CAZ358,public,Central Ventura County Valleys,CA
CAZ359,public,Southeastern Ventura County Valleys,CA
CAZ362,public,Malibu Coast,CA
CAZ363,public,Santa Monica Mountains,CA
CAZ364,public,Los Angeles County Beaches,CA
CAZ365,public,Los Angeles County Inland Coast including Downtown Los Angeles,CA
CAZ502,public,Marin Coastal Range,CA
CAZ503,public,Sonoma Coastal Range,CA
CAZ504,public,North Bay Interior Mountains,CA
CAZ505,public,Coastal North Bay Including Point Reyes National Seashore,CA
CAZ506,public,North Bay Interior Valleys,CA
CAZ508,public,San Francisco Bay Shoreline,CA
CAZ509,public,San Fransisco Peninsula Coast,CA
CAZ510,public,East Bay Interior Valleys,CA
CAZ512,public,Santa Cruz Mountains,CA
CAZ513,public,Santa Clara Valley Including San Jose,CA
CAZ514,public,Eastern Santa Clara Hills,CA
CAZ515,public,East Bay Hills,CA
CAZ516,public,Southern Salinas Valley/Arroyo Seco and Lake San Antonio,CA
CAZ517,public,Santa Lucia Mountains and Los Padres National Forest,CA
CAZ518,public,Mountains Of San Benito County And Interior Monterey County Including Pinnacles National Monument,CA
CAZ519,public,Eastern Sierra Slopes of Inyo County,CA
CAZ520,public,Owens Valley,CA
CAZ521,public,White Mountains of Inyo County,CA
CAZ522,public,Death Valley National Park,CA
CAZ523,public,Western Mojave Desert,CA
CAZ524,public,"Eastern Mojave Desert, Including the Mojave National Preserve",CA
CAZ525,public,Morongo Basin,CA
CAZ526,public,Cadiz Basin,CA
CAZ527,public,San Bernardino County-Upper Colorado River Valley,CA
CAZ528,public,Northern Salinas Valley/Hollister Valley and Carmel Valley,CA
CAZ529,public,Northern Monterey Bay,CA
CAZ530,public,Southern Monterey Bay and Big Sur Coast,CA
CAZ547,public,Los Angeles County San Fernando Valley,CA
CAZ548,public,Los Angeles County San Gabriel Valley,CA
CAZ549,public,San Miguel and Santa Rosa Islands,CA
CAZ550,public,Santa Cruz and Anacapa Islands,CA
CAZ552,public,Orange County Coastal,CA
CAZ554,public,Orange County Inland,CA
CAZ560,public,Joshua Tree NP West,CA
CAZ561,public,Joshua Tree NP East,CA
CAZ562,public,Imperial County Southwest,CA
CAZ563,public,Salton Sea,CA
CAZ564,public,Chuckwalla Mountains,CA
CAZ565,public,Imperial County Southeast,CA
CAZ566,public,Imperial County West,CA
CAZ567,public,Imperial Valley,CA
CAZ568,public,Chiriaco Summit,CA
CAZ569,public,Palo Verde Valley,CA
CAZ570,public,Chuckwalla Valley,CA
COZ001,public,Lower Yampa River Basin,CO
COZ002,public,Central Yampa River Basin,CO
COZ003,public,Roan and Tavaputs Plateaus,CO
COZ004,public,Elkhead and Park Mountains,CO
COZ005,public,Upper Yampa River Basin,CO
COZ006,public,Grand Valley,CO
COZ007,public,Debeque to Silt Corridor,CO
COZ008,public,Central Colorado River Basin,CO
COZ009,public,Grand and Battlement Mesas,CO
COZ010,public,Gore and Elk Mountains/Central Mountain Valleys,CO
COZ011,public,Central Gunnison and Uncompahgre River Basin,CO
COZ012,public,West Elk and Sawatch Mountains,CO
COZ013,public,Flat Tops,CO
COZ014,public,Upper Gunnison River Valley,CO
COZ017,public,Uncompahgre Plateau/Dallas Divide,CO
COZ018,public,Northwestern San Juan Mountains,CO
COZ019,public,Southwest San Juan Mountains,CO
COZ020,public,Paradox Valley/Lower Dolores River,CO
COZ021,public,Four Corners/Upper Dolores River,CO
COZ022,public,Animas River Basin,CO
COZ023,public,San Juan River Basin,CO
COZ030,public,Jackson County Below 9000 Feet,CO
COZ031,public,West Jackson and West Grand Counties Above 9000 Feet,CO
COZ032,public,Grand and Summit Counties Below 9000 Feet,CO
COZ033,public,South and East Jackson/Larimer/North and Northeast Grand/Northwest Boulder Counties Above 9000 Feet,CO
COZ034,public,South and Southeast Grand/West Central and Southwest Boulder/Gilpin/Clear Creek/Summit/North and West Park Counties Above 9000 Feet,CO
COZ035,public,Larimer and Boulder Counties Between 6000 and 9000 Feet,CO
COZ036,public,Jefferson and West Douglas Counties Above  6000 Feet/Gilpin/Clear Creek/Northeast Park Counties Below 9000 Feet,CO
COZ037,public,Central and Southeast Park County,CO
COZ038,public,Larimer County Below 6000 Feet/Northwest Weld County,CO
COZ039,public,Boulder And Jefferson Counties Below 6000 Feet/West Broomfield County,CO
COZ040,public,North Douglas County Below 6000 Feet/Denver/West Adams and Arapahoe Counties/East Broomfield County,CO
COZ041,public,Elbert/Central and East Douglas Counties Above 6000 Feet,CO
COZ042,public,Northeast Weld County,CO
COZ043,public,Central and South Weld County,CO
COZ044,public,Morgan County,CO
COZ045,public,Central and East Adams and Arapahoe Counties,CO
COZ046,public,North and Northeast Elbert County Below 6000 Feet/North Lincoln County,CO
COZ047,public,Southeast Elbert County Below 6000 Feet/South Lincoln County,CO
COZ048,public,Logan County,CO
COZ049,public,Washington County,CO
COZ050,public,Sedgwick County,CO
COZ051,public,Phillips County,CO
COZ058,public,Western Mosquito Range/East Lake County Above 11000 Ft,CO
COZ059,public,Leadville Vicinity/Lake County Below 11000 Ft,CO
COZ060,public,Eastern Sawatch Mountains above 11000 Ft,CO
COZ061,public,Western Chaffee County Between 9000 and 11000 Ft,CO
COZ062,public,Central Chaffee County Below 9000 Ft,CO
COZ063,public,Western Mosquito Range/East Chaffee County above 9000Ft,CO
COZ064,public,Saguache County West of Continental Divide Below 10000 Ft,CO
COZ065,public,Saguache County East of Continental Divide below 10000 Ft,CO
COZ066,public,La Garita Mountains Above 10000 Ft,CO
COZ067,public,Upper Rio Grande Valley/Eastern San Juan Mountains Below 10000 Ft,CO
COZ068,public,Eastern San Juan Mountains Above 10000 Ft,CO
COZ069,public,Del Norte Vicinity/Northern San Luis Valley Below 8500 Ft,CO
COZ070,public,Alamosa  Vicinity/Central San Luis Valley Below 8500 Ft,CO
COZ071,public,Southern San Luis Valley,CO
COZ072,public,Northern Sangre de Cristo Mountains Between 8500 And 11000 Ft,CO
COZ073,public,Northern Sangre de Cristo Mountains above 11000 Ft,CO
COZ074,public,Southern Sangre De Cristo Mountains Between 7500 and 11000 Ft,CO
COZ075,public,Southern Sangre De Cristo Mountains Above 11000 Ft,CO
COZ076,public,Northwestern Fremont County  Above 8500Ft,CO
COZ077,public,Western/Central Fremont County Below 8500 Ft,CO
COZ078,public,Wet Mountain Valley Below 8500 Ft,CO
COZ079,public,Wet Mountains between 6300 and 10000Ft,CO
COZ080,public,Wet Mountains above 10000 Ft,CO
COZ081,public,Teller County/Rampart Range above 7500fT/Pike's Peak Between 7500 And 11000 Ft,CO
COZ082,public,Pikes Peak above 11000 Ft,CO
COZ083,public,Canon City Vicinity/Eastern Fremont County,CO
COZ084,public,Northern El Paso County/Monument Ridge/Rampart Range Below 7500 Ft,CO
COZ085,public,Colorado Springs Vicinity/Southern El Paso County/Rampart Range Below 7400 Ft,CO
COZ086,public,Pueblo Vicinity/Pueblo County Below 6300 Feet,CO
COZ087,public,Walsenburg Vicinity/Upper Huerfano River Basin Below 7500 Ft,CO
COZ088,public,Trinidad Vicinity/Western Las Animas County Below 7500 Ft,CO
COZ089,public,Crowley County,CO
COZ090,public,Yuma County,CO
COZ091,public,Kit Carson County,CO
COZ092,public,Cheyenne County,CO
COZ093,public,La Junta Vicinity/Otero County,CO
COZ094,public,Eastern Las Animas County,CO
COZ095,public,Western Kiowa County,CO
COZ096,public,Eastern Kiowa County,CO
COZ097,public,Las Animas Vicinity/Bent County,CO
COZ098,public,Lamar Vicinity/Prowers County,CO
COZ099,public,Springfield Vicinity/Baca County,CO
CTZ001,public,Northern Litchfield,CT
CTZ002,public,Hartford,CT
CTZ003,public,Tolland,CT
CTZ004,public,Windham,CT
CTZ005,public,Northern Fairfield,CT
CTZ006,public,Northern New Haven,CT
CTZ007,public,Northern Middlesex,CT
CTZ008,public,Northern New London,CT
CTZ009,public,Southern Fairfield,CT
CTZ010,public,Southern New Haven,CT
CTZ011,public,Southern Middlesex,CT
CTZ012,public,Southern New London,CT
CTZ013,public,Southern Litchfield,CT
DCZ001,public,District of Columbia,DC
DEZ001,public,New Castle,DE
DEZ002,public,Kent,DE
DEZ003,public,Inland Sussex,DE
DEZ004,public,Delaware Beaches,DE
FLZ007,public,North Walton,FL
FLZ008,public,Central Walton,FL
FLZ009,public,Holmes,FL
FLZ010,public,Washington,FL
FLZ011,public,Jackson,FL
FLZ012,public,Inland Bay,FL
FLZ013,public,Calhoun,FL
FLZ014,public,Inland Gulf,FL
FLZ015,public,Inland Franklin,FL
FLZ016,public,Gadsden,FL
FLZ017,public,Leon,FL
FLZ018,public,Inland Jefferson,FL
FLZ019,public,Madison,FL
FLZ020,public,Hamilton,FL
FLZ021,public,Suwannee,FL
FLZ023,public,Baker,FL
FLZ024,public,Inland Nassau,FL
FLZ026,public,Liberty,FL
FLZ027,public,Inland Wakulla,FL
FLZ028,public,Inland Taylor,FL
FLZ029,public,Lafayette,FL
FLZ030,public,Union,FL
FLZ031,public,Bradford,FL
FLZ033,public,Inland St. Johns,FL
FLZ034,public,Inland Dixie,FL
FLZ035,public,Gilchrist,FL
FLZ038,public,Inland Flagler,FL
FLZ041,public,Inland Volusia,FL
FLZ043,public,Sumter,FL
FLZ044,public,Northern Lake County,FL
FLZ045,public,Orange,FL
FLZ046,public,Seminole,FL
FLZ050,public,Pinellas,FL
FLZ052,public,Polk,FL
FLZ053,public,Osceola,FL
FLZ056,public,Hardee,FL
FLZ057,public,Highlands,FL
FLZ058,public,Okeechobee,FL
FLZ061,public,DeSoto,FL
FLZ063,public,Glades,FL
FLZ066,public,Hendry,FL
FLZ067,public,Inland Palm Beach County,FL
FLZ068,public,Metro Palm Beach County,FL
FLZ069,public,Coastal Collier County,FL
FLZ070,public,Inland Collier County,FL
FLZ071,public,Inland Broward County,FL
FLZ072,public,Metro Broward County,FL
FLZ073,public,Inland Miami-Dade County,FL
FLZ074,public,Metropolitan Miami Dade,FL
FLZ075,public,Mainland Monroe,FL
FLZ076,public,Monroe Upper Keys,FL
FLZ077,public,Monroe Middle Keys,FL
FLZ078,public,Monroe Lower Keys,FL
FLZ108,public,South Walton,FL
FLZ112,public,Coastal Bay,FL
FLZ114,public,Coastal Gulf,FL
FLZ115,public,Coastal Franklin,FL
FLZ118,public,Coastal Jefferson,FL
FLZ122,public,Northern Columbia,FL
FLZ124,public,Coastal Nassau,FL
FLZ125,public,Coastal Duval,FL
